datetime,temp_heated,temp_out,temp_low,temp_high,moist_F,moist_V,moist_E,moist_true
2024-10-19 15:18:25+03:00,66.90,14.20,30.70,10.70,,,,
2024-10-19 15:18:25.878000+03:00,,,,,158.80,150.80,173.90,
2024-10-19 15:18:27+03:00,66.50,14.60,30.60,10.60,,,,
2024-10-19 15:18:27.583000+03:00,,,,,159.60,151.10,173.90,
2024-10-19 15:18:29+03:00,66.60,14.00,30.70,11.00,,,,
2024-10-19 15:18:29.298000+03:00,,,,,159.45,150.50,172.60,
2024-10-19 15:18:31+03:00,67.00,14.20,30.40,13.80,,,,
2024-10-19 15:18:31.778000+03:00,,,,,159.85,151.45,174.50,
2024-10-19 15:18:33+03:00,67.20,14.40,30.80,10.30,,,,
2024-10-19 15:18:33.468000+03:00,,,,,158.00,150.50,173.95,
2024-10-19 15:18:35+03:00,67.20,14.30,31.00,10.80,,,,
2024-10-19 15:18:35.143000+03:00,,,,,158.90,150.15,172.60,
2024-10-19 15:18:36+03:00,66.40,14.20,30.90,13.10,,,,
2024-10-19 15:18:37.014000+03:00,,,,,157.80,150.15,173.50,
2024-10-19 15:18:38+03:00,67.00,14.30,30.80,10.80,,,,
2024-10-19 15:18:38.703000+03:00,,,,,158.85,150.80,173.65,
2024-10-19 15:18:40+03:00,67.10,14.60,30.50,10.60,,,,
2024-10-19 15:18:40.373000+03:00,,,,,158.90,150.80,173.40,
2024-10-19 15:18:41+03:00,66.80,14.90,31.10,10.90,,,,
2024-10-19 15:18:42.063000+03:00,,,,,158.95,150.50,173.20,
2024-10-19 15:18:43+03:00,67.00,14.30,31.00,10.60,,,,
2024-10-19 15:18:43.743000+03:00,,,,,159.20,150.80,173.20,
2024-10-19 15:18:45+03:00,67.20,14.40,30.40,12.80,,,,
2024-10-19 15:18:45.438000+03:00,,,,,159.15,151.10,174.20,
2024-10-19 15:18:46+03:00,66.90,14.20,30.60,11.50,,,,
2024-10-19 15:18:47.118000+03:00,,,,,159.45,151.10,173.70,
2024-10-19 15:18:48+03:00,66.50,14.30,30.70,10.70,,,,
2024-10-19 15:18:48.798000+03:00,,,,,159.25,150.15,172.50,
2024-10-19 15:18:50+03:00,66.70,14.20,31.40,11.20,,,,
2024-10-19 15:18:50.493000+03:00,,,,,161.40,151.45,173.30,
2024-10-19 15:18:52+03:00,66.90,14.70,30.70,10.40,,,,
